database	prettyDataBase
afrotryp	Afrotryp
alkamid	Alkamid
anpdb	ANPDB
antibase	AntiBase
antimarin	AntiMarin
biofacquim	BIOFACQUIM
biophytmol	BioPhytMol
carotenoiddb	Carotenoid DB
coconut	COCONUT
cyanometdb	CyanoMetDB
datawarrior	DataWarrior
dianatdb	DiaNat-DB
dnp	DNP
drduke	Dr. Duke's database
foodb	FooDB
inflamnat	InflamNat
knapsack	KNApSAcK
metabolights	MetaboLights
mibig	MIBiG
mitishamba	Mitishamba
napralert	NAPRALERT
npass	NPASS
npatlas	NPAtlas
npcare	NPCARE
npedia	NPEdia
nubbe	NuBBEDB
pamdb	PAMDB
phenolexplorer	Phenol-Explorer
phytohub	PhytoHub
procardb	ProCarDB
respect	ReSpect
sancdb	SANCDB
streptomedb	StreptomeDB
swmd	SWMD
tmdb	TMDB
tmmc	TM-MC
tppt	TPPT
unpd	UNPD
wakankensaku	Wakankensaku
wikidata	Wikidata
